acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.229,https://api.spotify.com/v1/audio-analysis/4E8XEz8KIuQ1iJJAMgCcXV,0.789,318892,0.612,4E8XEz8KIuQ1iJJAMgCcXV,0.507,5,0.0746,-10.123,0,0.0526,1,121.002,4,https://api.spotify.com/v1/tracks/4E8XEz8KIuQ1iJJAMgCcXV,audio_features,spotify:track:4E8XEz8KIuQ1iJJAMgCcXV,0.485
0.151,https://api.spotify.com/v1/audio-analysis/6O54q3QJaLaXSCnKyxnTBR,0.656,435397,0.74,6O54q3QJaLaXSCnKyxnTBR,0.781,0,0.0752,-6.372,0,0.0311,1,125.022,4,https://api.spotify.com/v1/tracks/6O54q3QJaLaXSCnKyxnTBR,audio_features,spotify:track:6O54q3QJaLaXSCnKyxnTBR,0.136
0.248,https://api.spotify.com/v1/audio-analysis/0B9fbOeVIuvLJj9DYciqkq,0.638,480000,0.454,0B9fbOeVIuvLJj9DYciqkq,0.357,0,0.0808,-13.166,1,0.121,1,120.014,4,https://api.spotify.com/v1/tracks/0B9fbOeVIuvLJj9DYciqkq,audio_features,spotify:track:0B9fbOeVIuvLJj9DYciqkq,0.0705
0.0641,https://api.spotify.com/v1/audio-analysis/2yF1zBA0eALfWD4JqXLifj,0.708,218716,0.458,2yF1zBA0eALfWD4JqXLifj,0.00162,2,0.0375,-8.143,1,0.0941,1,88.026,4,https://api.spotify.com/v1/tracks/2yF1zBA0eALfWD4JqXLifj,audio_features,spotify:track:2yF1zBA0eALfWD4JqXLifj,0.253
0.7,https://api.spotify.com/v1/audio-analysis/1hleqMXWytOhqPv0gxVKM4,0.512,110759,0.116,1hleqMXWytOhqPv0gxVKM4,0.711,9,0.0906,-20.234,0,0.062,1,214.599,4,https://api.spotify.com/v1/tracks/1hleqMXWytOhqPv0gxVKM4,audio_features,spotify:track:1hleqMXWytOhqPv0gxVKM4,0.037
0.0186,https://api.spotify.com/v1/audio-analysis/6cTMOe8HeoBezsNup22Uqw,0.805,278296,0.804,6cTMOe8HeoBezsNup22Uqw,0.901,8,0.0753,-7.562,1,0.0589,1,125.018,4,https://api.spotify.com/v1/tracks/6cTMOe8HeoBezsNup22Uqw,audio_features,spotify:track:6cTMOe8HeoBezsNup22Uqw,0.635
0.376,https://api.spotify.com/v1/audio-analysis/6QybDqz7nZa8ZhhBDzauMA,0.588,167034,0.733,6QybDqz7nZa8ZhhBDzauMA,0.0,10,0.887,-6.442,0,0.444,1,93.469,4,https://api.spotify.com/v1/tracks/6QybDqz7nZa8ZhhBDzauMA,audio_features,spotify:track:6QybDqz7nZa8ZhhBDzauMA,0.623
0.577,https://api.spotify.com/v1/audio-analysis/6sjVu5mxVqt2TbygCVqQXV,0.817,183823,0.543,6sjVu5mxVqt2TbygCVqQXV,0.303,5,0.101,-10.122,0,0.0567,1,109.98,4,https://api.spotify.com/v1/tracks/6sjVu5mxVqt2TbygCVqQXV,audio_features,spotify:track:6sjVu5mxVqt2TbygCVqQXV,0.803
0.0107,https://api.spotify.com/v1/audio-analysis/4VtOPpoOJNi8ZkQy0PtyKk,0.634,165856,0.676,4VtOPpoOJNi8ZkQy0PtyKk,0.000236,0,0.0644,-8.915,1,0.234,1,139.982,4,https://api.spotify.com/v1/tracks/4VtOPpoOJNi8ZkQy0PtyKk,audio_features,spotify:track:4VtOPpoOJNi8ZkQy0PtyKk,0.227
0.524,https://api.spotify.com/v1/audio-analysis/10hFslvFmtAfmEUhcCHyE3,0.61,256546,0.622,10hFslvFmtAfmEUhcCHyE3,0.0104,11,0.354,-8.05,0,0.0985,1,135.835,4,https://api.spotify.com/v1/tracks/10hFslvFmtAfmEUhcCHyE3,audio_features,spotify:track:10hFslvFmtAfmEUhcCHyE3,0.467
